delta,light_intensity,grey_out
2,132.954200000,0
2,139.601900000,0
2,146.582000000,0
2,153.911100000,0
2,161.606600000,1
2,169.687000000,0
2,178.171300000,1
2,187.079900000,0
2,196.433900000,0
2,206.255500000,1
2,216.568300000,0
2,227.396700000,0
2,238.766500000,0
2,250.704800000,0
2,263.240100000,0
2,276.402100000,0
2,290.222200000,0
2,304.733300000,0
2,319.969900000,0
2,335.968400000,0
2,352.766800000,0
2,370.405200000,0
2,388.925400000,0
3,0.000100000,253
3,0.000105000,253
3,0.000110250,253
3,0.000115763,253
3,0.000121551,253
3,0.000127628,253
3,0.000134010,253
3,0.000140710,253
3,0.000147746,253
3,0.000155133,253
3,0.000162889,253
3,0.000171034,253
3,0.000179586,253
3,0.000188565,254
3,0.000197993,253
3,0.000207893,254
3,0.000218287,253
3,0.000229202,254
3,0.000240662,254
3,0.000252695,253
3,0.000265330,253
3,0.000278596,253
3,0.000292526,253
3,0.000307152,253
3,0.000322510,253
3,0.000338635,253
3,0.000355567,254
3,0.000373345,253
3,0.000392012,253
3,0.000411613,253
3,0.000432194,253
3,0.000453803,253
3,0.000476494,253
3,0.000500318,253
3,0.000525334,253
3,0.000551601,253
3,0.000579181,253
3,0.000608140,253
3,0.000638547,253
3,0.000670474,253
3,0.000703998,253
3,0.000739198,253
3,0.000776157,253
3,0.000814965,253
3,0.000855713,253
3,0.000898499,254
3,0.000943424,253
3,0.000990595,254
3,0.001040125,242
3,0.001092131,243
3,0.001146737,243
3,0.001204074,241
3,0.001264278,240
3,0.001327492,239
3,0.001393866,238
3,0.001463560,239
3,0.001536738,236
3,0.001613575,237
3,0.001694253,235
3,0.001778966,234
3,0.001867914,233
3,0.001961310,231
3,0.002059375,231
3,0.002162344,230
3,0.002270461,228
3,0.002383984,226
3,0.002503183,226
3,0.002628342,223
3,0.002759759,223
3,0.002897747,220
3,0.003042634,218
3,0.003194765,216
3,0.003354504,215
3,0.003522228,213
3,0.003698340,210
3,0.003883257,208
3,0.004077419,206
3,0.004281290,203
3,0.004495354,199
3,0.004720122,197
3,0.004956128,193
3,0.005203934,190
3,0.005464131,187
3,0.005737337,182
3,0.006024204,177
3,0.006325413,174
3,0.006641684,168
3,0.006973768,163
3,0.007322456,157
3,0.007688578,152
3,0.008073007,144
3,0.008476657,138
3,0.008900490,129
3,0.009345514,118
3,0.009812789,107
3,0.010303430,95
3,0.010818600,80
3,0.011359530,54
3,0.011927510,4
3,0.012523880,0
3,0.013150070,0
3,0.013807580,0
3,0.014497960,0
3,0.015222850,0
3,0.015983990,0
3,0.016783190,0
3,0.017622350,0
3,0.018503470,0
3,0.019428640,0
3,0.020400070,1
3,0.021420070,0
3,0.022491080,1
3,0.023615630,0
3,0.024796410,0
3,0.026036230,1
3,0.027338040,0
3,0.028704940,0
3,0.030140190,0
3,0.031647190,0
3,0.033229550,0
3,0.034891030,0
3,0.036635580,0
3,0.038467360,0
3,0.040390720,0
3,0.042410260,0
3,0.044530770,0
3,0.046757300,0
3,0.049095160,0
3,0.051549920,0
3,0.054127420,0
3,0.056833790,0
3,0.059675470,0
3,0.062659240,0
3,0.065792200,0
3,0.069081810,0
3,0.072535900,0
3,0.076162700,0
3,0.079970830,0
3,0.083969370,0
3,0.088167830,0
3,0.092576220,0
3,0.097205030,1
3,0.102065300,0
3,0.107168500,1
3,0.112527000,0
3,0.118153300,0
3,0.124061000,1
3,0.130264000,0
3,0.136777200,0
3,0.143616100,0
3,0.150796800,0
3,0.158336700,0
3,0.166253500,0
3,0.174566200,0
3,0.183294500,0
3,0.192459200,0
3,0.202082100,0
3,0.212186200,0
3,0.222795500,0
3,0.233935300,0
3,0.245632100,0
3,0.257913600,0
3,0.270809300,0
3,0.284349800,0
3,0.298567200,0
3,0.313495600,0
3,0.329170300,0
3,0.345628900,0
3,0.362910300,0
3,0.381055800,0
3,0.400108500,0
3,0.420114000,0
3,0.441119600,0
3,0.463175600,1
3,0.486334400,0
3,0.510651100,1
3,0.536183600,0
3,0.562992800,0
3,0.591142400,1
3,0.620699500,0
3,0.651734400,0
3,0.684321100,0
3,0.718537200,0
3,0.754464000,0
3,0.792187200,0
3,0.831796500,0
3,0.873386300,0
3,0.917055500,0
3,0.962908300,0
3,1.011054000,0
3,1.061606000,0
3,1.114687000,0
3,1.170421000,0
3,1.228942000,0
3,1.290389000,0
3,1.354908000,0
3,1.422654000,0
3,1.493786000,0
3,1.568476000,0
3,1.646899000,0
3,1.729244000,0
3,1.815706000,0
3,1.906492000,0
3,2.001816000,0
3,2.101907000,0
3,2.207002000,1
3,2.317352000,0
3,2.433219000,1
3,2.554880000,0
3,2.682624000,0
3,2.816755000,1
3,2.957593000,0
3,3.105473000,0
3,3.260746000,0
3,3.423783000,0
3,3.594972000,0
3,3.774721000,0
3,3.963457000,0
3,4.161629000,0
3,4.369710000,0
3,4.588196000,0
3,4.817605000,0
3,5.058486000,0
3,5.311409000,0
3,5.576980000,0
3,5.855828000,0
3,6.148620000,0
3,6.456050000,0
3,6.778852000,0
3,7.117795000,0
3,7.473684000,0
3,7.847368000,0
3,8.239737000,0
3,8.651723000,0
3,9.084309000,0
3,9.538524000,0
3,10.015450000,0
3,10.516220000,1
3,11.042030000,0
3,11.594130000,1
3,12.173840000,0
3,12.782530000,0
3,13.421660000,1
3,14.092740000,0
3,14.797370000,0
3,15.537240000,0
3,16.314100000,0
3,17.129810000,0
3,17.986300000,0
3,18.885610000,0
3,19.829890000,0
3,20.821390000,0
3,21.862460000,0
3,22.955580000,0
3,24.103360000,0
3,25.308520000,0
3,26.573950000,0
3,27.902640000,0
3,29.297770000,0
3,30.762660000,0
3,32.300790000,0
3,33.915820000,0
3,35.611610000,0
3,37.392190000,0
3,39.261800000,0
3,41.224890000,0
3,43.286130000,0
3,45.450430000,0
3,47.722950000,0
3,50.109100000,1
3,52.614550000,0
3,55.245270000,1
3,58.007530000,0
3,60.907910000,0
3,63.953300000,1
3,67.150960000,0
3,70.508510000,0
3,74.033930000,0
3,77.735620000,0
3,81.622400000,0
3,85.703510000,0
3,89.988690000,0
3,94.488110000,0
3,99.212520000,0
3,104.173100000,0
3,109.381800000,0
3,114.850900000,0
3,120.593400000,0
3,126.623100000,0
3,132.954200000,0
3,139.601900000,0
3,146.582000000,0
3,153.911100000,0
3,161.606600000,0
3,169.687000000,0
3,178.171300000,0
3,187.079900000,0
3,196.433900000,0
3,206.255500000,0
3,216.568300000,0
3,227.396700000,0
3,238.766500000,1
3,250.704800000,0
3,263.240100000,1
3,276.402100000,0
3,290.222200000,0
3,304.733300000,1
3,319.969900000,0
3,335.968400000,0
3,352.766800000,0
3,370.405200000,0
3,388.925400000,0
4,0.000100000,0
4,0.000105000,0
4,0.000110250,0
4,0.000115763,0
4,0.000121551,0
4,0.000127628,0
4,0.000134010,0
4,0.000140710,0
4,0.000147746,0
4,0.000155133,0
4,0.000162889,0
4,0.000171034,0
4,0.000179586,0
4,0.000188565,0
4,0.000197993,0
4,0.000207893,0
4,0.000218287,0
4,0.000229202,0
4,0.000240662,0
4,0.000252695,0
4,0.000265330,0
4,0.000278596,1
4,0.000292526,0
4,0.000307152,1
4,0.000322510,0
4,0.000338635,0
4,0.000355567,1
4,0.000373345,0
4,0.000392012,0
4,0.000411613,0
4,0.000432194,0
4,0.000453803,0
4,0.000476494,0
4,0.000500318,0
4,0.000525334,0
4,0.000551601,0
4,0.000579181,0
4,0.000608140,0
4,0.000638547,0
4,0.000670474,0
4,0.000703998,0
4,0.000739198,0
4,0.000776157,0
4,0.000814965,0
4,0.000855713,0
4,0.000898499,0
4,0.000943424,0
4,0.000990595,0
4,0.001040125,86
