delta,light_intensity,grey_out
8,104.178000000,0
8,125.013600000,0
9,0.000100000,0
9,0.000120000,0
9,0.000144000,0
9,0.000172800,0
9,0.000207360,0
9,0.000248832,0
9,0.000298599,0
9,0.000358318,0
9,0.000429982,0
9,0.000515978,0
9,0.000619174,0
9,0.000743009,0
9,0.000891611,0
9,0.001069933,1
9,0.001283919,0
9,0.001540703,1
9,0.001848844,0
9,0.002218613,0
9,0.002662335,1
9,0.003194802,0
9,0.003833763,0
9,0.004600516,0
9,0.005520619,0
9,0.006624744,0
9,0.007949693,0
9,0.009539632,0
9,0.011447560,0
9,0.013737070,0
9,0.016484490,0
9,0.019781380,0
9,0.023737660,0
9,0.028485200,0
9,0.034182240,0
9,0.041018690,0
9,0.049222430,0
9,0.059066920,0
9,0.070880300,0
9,0.085056360,0
9,0.102067600,0
9,0.122481200,86
9,0.146977400,196
9,0.176372900,247
9,0.211647500,172
9,0.253977000,0
9,0.304772400,0
9,0.365726900,1
9,0.438872300,0
9,0.526646700,1
9,0.631976100,0
9,0.758371400,0
9,0.910045700,1
9,1.092055000,0
9,1.310466000,0
9,1.572559000,0
9,1.887071000,0
9,2.264486000,0
9,2.717383000,0
9,3.260860000,0
9,3.913032000,0
9,4.695638000,0
9,5.634766000,0
9,6.761720000,0
9,8.114064000,0
9,9.736877000,0
9,11.684250000,0
9,14.021100000,0
9,16.825330000,0
9,20.190390000,0
9,24.228470000,0
9,29.074170000,0
9,34.889000000,0
9,41.866810000,0
9,50.240170000,0
9,60.288200000,0
9,72.345850000,0
9,86.815020000,0
9,104.178000000,0
9,125.013600000,1
10,0.000100000,0
10,0.000120000,1
10,0.000144000,0
10,0.000172800,0
10,0.000207360,1
10,0.000248832,0
10,0.000298599,0
10,0.000358318,0
10,0.000429982,0
10,0.000515978,0
10,0.000619174,0
10,0.000743009,0
10,0.000891611,0
10,0.001069933,0
10,0.001283919,0
10,0.001540703,0
10,0.001848844,0
10,0.002218613,0
10,0.002662335,0
10,0.003194802,0
10,0.003833763,0
10,0.004600516,0
10,0.005520619,0
10,0.006624744,0
10,0.007949693,0
10,0.009539632,0
10,0.011447560,0
10,0.013737070,0
10,0.016484490,0
10,0.019781380,0
10,0.023737660,0
10,0.028485200,1
10,0.034182240,0
10,0.041018690,1
10,0.049222430,0
10,0.059066920,0
10,0.070880300,1
10,0.085056360,0
10,0.102067600,0
10,0.122481200,0
10,0.146977400,0
10,0.176372900,69
10,0.211647500,200
10,0.253977000,244
10,0.304772400,161
10,0.365726900,0
10,0.438872300,0
10,0.526646700,0
10,0.631976100,0
10,0.758371400,0
10,0.910045700,0
10,1.092055000,0
10,1.310466000,0
10,1.572559000,0
10,1.887071000,0
10,2.264486000,0
10,2.717383000,0
10,3.260860000,0
10,3.913032000,0
10,4.695638000,0
10,5.634766000,0
10,6.761720000,0
10,8.114064000,0
10,9.736877000,1
10,11.684250000,0
10,14.021100000,1
10,16.825330000,0
10,20.190390000,0
10,24.228470000,1
10,29.074170000,0
10,34.889000000,0
10,41.866810000,0
10,50.240170000,0
10,60.288200000,0
10,72.345850000,0
10,86.815020000,0
10,104.178000000,0
10,125.013600000,0
11,0.000100000,0
11,0.000120000,0
11,0.000144000,0
11,0.000172800,0
11,0.000207360,0
11,0.000248832,0
11,0.000298599,0
11,0.000358318,0
11,0.000429982,0
11,0.000515978,0
11,0.000619174,0
11,0.000743009,0
11,0.000891611,0
11,0.001069933,0
11,0.001283919,0
11,0.001540703,0
11,0.001848844,0
11,0.002218613,1
11,0.002662335,0
11,0.003194802,1
11,0.003833763,0
11,0.004600516,0
11,0.005520619,1
11,0.006624744,0
11,0.007949693,0
11,0.009539632,0
11,0.011447560,0
11,0.013737070,0
11,0.016484490,0
11,0.019781380,0
11,0.023737660,0
11,0.028485200,0
11,0.034182240,0
11,0.041018690,0
11,0.049222430,0
11,0.059066920,0
11,0.070880300,0
11,0.085056360,0
11,0.102067600,0
11,0.122481200,0
11,0.146977400,0
11,0.176372900,0
11,0.211647500,0
11,0.253977000,84
11,0.304772400,209
11,0.365726900,231
11,0.438872300,134
11,0.526646700,0
11,0.631976100,0
11,0.758371400,1
11,0.910045700,0
11,1.092055000,1
11,1.310466000,0
11,1.572559000,0
11,1.887071000,1
11,2.264486000,0
11,2.717383000,0
11,3.260860000,0
11,3.913032000,0
11,4.695638000,0
11,5.634766000,0
11,6.761720000,0
11,8.114064000,0
11,9.736877000,0
11,11.684250000,0
11,14.021100000,0
11,16.825330000,0
11,20.190390000,0
11,24.228470000,0
11,29.074170000,0
11,34.889000000,0
11,41.866810000,0
11,50.240170000,0
11,60.288200000,0
11,72.345850000,0
11,86.815020000,0
11,104.178000000,0
11,125.013600000,0
12,0.000100000,0
12,0.000120000,0
12,0.000144000,0
12,0.000172800,1
12,0.000207360,0
12,0.000248832,1
12,0.000298599,0
12,0.000358318,0
12,0.000429982,1
12,0.000515978,0
12,0.000619174,0
12,0.000743009,0
12,0.000891611,0
12,0.001069933,0
12,0.001283919,0
12,0.001540703,0
12,0.001848844,0
12,0.002218613,0
12,0.002662335,0
12,0.003194802,0
12,0.003833763,0
12,0.004600516,0
12,0.005520619,0
12,0.006624744,0
12,0.007949693,0
12,0.009539632,0
12,0.011447560,0
12,0.013737070,0
12,0.016484490,0
12,0.019781380,0
12,0.023737660,0
12,0.028485200,0
12,0.034182240,0
12,0.041018690,0
12,0.049222430,0
12,0.059066920,1
12,0.070880300,0
12,0.085056360,1
12,0.102067600,0
12,0.122481200,0
